type,url,title,source,date
news,https://www.smh.com.au/lifestyle/health-and-wellness/hypnosis-for-anxiety-doable-if-you-have-an-open-mind-20200120-p53t3g.html,Hypnosis for anxiety? 'Doable' if you have an open mind,Sydney Morning Herald,22/01/2020
tv,https://www.facebook.com/watch/?v=1007373236279678,Is Australia ignoring psychedelics as a mental health treatment?,Junkee Takeaway,28/11/2019
tv,https://www.youtube.com/watch?v=vIWwdM7hJ-M,Microdosing research in New Zealand,TV1 New Zealand,26/11/2019
podcast,https://www.mindstewpodcast.com/e013/,Conducting microdosing research in Australia,Mindstew Podcast,6/11/2019
radio,https://www.rnz.co.nz/programmes/the-detail/story/2018710777/experiments-with-lsd,Experiments with LSD,Radio New Zealand,29/08/2019
radio,https://www.3cr.org.au/enpsychedelia/episode-201908181400/changa-change-jef-baker-and-dr-vinco-polito-microdosing,Experiences Of microdosing psychedelics: An observational Study - Bicycle Day 2019,Radio 3CR,18/08/2019
radio,https://2ser.com/psychedelia-more-than-just-groovy/,Psychedelia - More Than Just Groovy,2SER,14/08/2019
radio,https://fbiradio.com/945fm/programs/upforit/2019-08-13/,Up and atom [from 2:27:00],FBI Radio,13/08/2019
news,,Microdosing and peak performance,L'ADN [French],26/06/2019
news,https://digest.bps.org.uk/2019/05/17/rare-systematic-study-of-the-effects-of-microdosing-psychedlics-finds-benefits-but-not-of-the-kind-that-users-most-expect/,"Study Finds Microdosing Psychedelics Can Be Beneficial, But Not In The Way That Users Most Expect",The British Psychological Society Research Digest,17/05/2019
radio,,Australian microdosing trends,ABC Radio Melbourne,6/05/2019
news,https://www.theguardian.com/science/2019/may/03/psychedelic-drugs-women-taking-tiny-doses-hattie-garlick,It makes me enjoy playing with the kids': is microdosing mushrooms going manstream?,The Guardian,3/05/2019
talks,https://www.youtube.com/watch?v=RxC8BuGdqFs,Experiences Of microdosing psychedelics,Australian Psychedelic Society,19/04/2019
exhibit,https://wellcomecollection.org/exhibitions/W_vuwBQAACoA_SY2,Smoke and Mirrors: The Science of Magic,Wellcome Trust Exhibition,11/04/2019
news,http://www.australasianscience.com.au/article/issue-marchapril-2019/psychedelic-microdosing-doesn%E2%80%99t-meet-user-expectations.html,Psychedelic Microdosing Doesn't Meet User Expectations,Australasian Science,15/03/2019
news,https://www.sueddeutsche.de/wissen/lsd-micro-dosing-buero-leistung-1.4358577,Drogen-Kick furs Buro,Sueddeutsche Zeitung [German],7/03/2019
news,https://www.vice.com/en_au/article/j57byx/having-frequent-terrifying-dreams-could-mean-you-have-nightmare-disorder,What microdosing does is not the same as what we expect it to do,VICE,6/03/2019
